Velocity/(rpm),Current/(A),Current/(A),Current/(A),Angle/(rad),Angle/(rad),Tem/(Nm),Current/(A),Current/(A),Current/(A),Current/(A),Force/(N),Force/(N),Force/(N),Force/(N),Displacement/(um),Displacement/(um),Velocity/(m/s),Velocity/(m/s),Angle/(rad)
309.274198,0.000000,14.950266,0.000000,0.151632,0.151632,0.051593,0.000000,0.000000,0.000000,0.000000,0.058825,0.000000,-0.016817,0.000000,-0.012936,0.000000,-0.000033,0.000000,-0.122173
314.082898,0.000000,15.009917,0.000000,0.152285,0.152285,0.051976,0.000000,0.000000,0.000000,0.000000,0.058825,0.000000,-0.017684,0.000000,-0.013603,0.000000,-0.000034,0.000000,-0.122173
318.878582,0.000000,14.853946,0.000000,0.152948,0.152948,0.050872,0.000000,0.000000,0.000000,0.000000,0.073864,0.000000,-0.018588,0.000000,-0.014298,0.000000,-0.000035,0.000000,-0.122173
323.675431,0.000000,14.912786,0.000000,0.153621,0.153621,0.051245,0.000000,0.000000,0.000000,0.000000,0.073864,0.000000,-0.019530,0.000000,-0.015023,0.000000,-0.000037,0.000000,-0.122173
328.461387,0.000000,15.078303,0.000000,0.154304,0.154304,0.052357,0.000000,0.000000,0.000000,0.000000,0.073864,0.000000,-0.020512,0.000000,-0.015779,0.000000,-0.000039,0.000000,-0.122173
333.264408,0.000000,14.919756,0.000000,0.154997,0.154997,0.051230,0.000000,0.000000,0.000000,0.000000,0.073864,0.000000,-0.021536,0.000000,-0.016566,0.000000,-0.000040,0.000000,-0.122173
338.038242,0.000000,14.977203,0.000000,0.155700,0.155700,0.051591,0.000000,0.000000,0.000000,0.000000,0.073864,0.000000,-0.022603,0.000000,-0.017387,0.000000,-0.000042,0.000000,-0.122173
342.828019,0.000000,15.137239,0.000000,0.156414,0.156414,0.052665,0.000000,0.000000,0.000000,0.000000,0.092161,0.000000,-0.023714,0.000000,-0.018242,0.000000,-0.000044,0.000000,-0.122173
347.608033,0.000000,14.874093,0.000000,0.157137,0.157137,0.050815,0.000000,0.000000,0.000000,0.000000,0.092161,0.000000,-0.024872,0.000000,-0.019132,0.000000,-0.000045,0.000000,-0.122173
352.405022,0.000000,15.030461,0.000000,0.157870,0.157870,0.051853,0.000000,0.000000,0.000000,0.000000,0.092161,0.000000,-0.026078,0.000000,-0.020060,0.000000,-0.000047,0.000000,-0.122173
357.187420,0.000000,14.871857,0.000000,0.158614,0.158614,0.050727,0.000000,0.000000,0.000000,0.000000,0.092161,0.000000,-0.027334,0.000000,-0.021026,0.000000,-0.000049,0.000000,-0.122173
361.965917,0.000000,14.922718,0.000000,0.159367,0.159367,0.051037,0.000000,0.000000,0.000000,0.000000,0.092161,0.000000,-0.028641,0.000000,-0.022032,0.000000,-0.000051,0.000000,-0.122173
366.729205,0.000000,15.077696,0.000000,0.160130,0.160130,0.052063,0.000000,0.000000,0.000000,0.000000,0.114378,0.000000,-0.030003,0.000000,-0.023079,0.000000,-0.000053,0.000000,-0.122173
371.504553,0.000000,14.918222,0.000000,0.160904,0.160904,0.050928,0.000000,0.000000,0.000000,0.000000,0.114378,0.000000,-0.031420,0.000000,-0.024170,0.000000,-0.000056,0.000000,-0.122173
376.247585,0.000000,14.968985,0.000000,0.161687,0.161687,0.051234,0.000000,0.000000,0.000000,0.000000,0.114378,0.000000,-0.032896,0.000000,-0.025304,0.000000,-0.000058,0.000000,-0.122173
381.026996,0.000000,15.117110,0.000000,0.162480,0.162480,0.052209,0.000000,0.000000,0.000000,0.000000,0.114378,0.000000,-0.034431,0.000000,-0.026486,0.000000,-0.000060,0.000000,-0.122173
385.789465,0.000000,14.957414,0.000000,0.163283,0.163283,0.051069,0.000000,0.000000,0.000000,0.000000,0.114378,0.000000,-0.036029,0.000000,-0.027715,0.000000,-0.000063,0.000000,-0.122173
390.543718,0.000000,15.003005,0.000000,0.164097,0.164097,0.051335,0.000000,0.000000,0.000000,0.000000,0.141310,0.000000,-0.037692,0.000000,-0.028994,0.000000,-0.000065,0.000000,-0.122173
395.280843,0.000000,15.150564,0.000000,0.164920,0.164920,0.052303,0.000000,0.000000,0.000000,0.000000,0.141310,0.000000,-0.039422,0.000000,-0.030325,0.000000,-0.000068,0.000000,-0.122173
400.028945,0.000000,14.889617,0.000000,0.165753,0.165753,0.050470,0.000000,0.000000,0.000000,0.000000,0.141310,0.000000,-0.041222,0.000000,-0.031709,0.000000,-0.000071,0.000000,-0.122173
404.762271,0.000000,15.034670,0.000000,0.166596,0.166596,0.051409,0.000000,0.000000,0.000000,0.000000,0.141310,0.000000,-0.043094,0.000000,-0.033149,0.000000,-0.000073,0.000000,-0.122173
409.501861,0.000000,14.875281,0.000000,0.167449,0.167449,0.050276,0.000000,0.000000,0.000000,0.000000,0.141310,0.000000,-0.045041,0.000000,-0.034647,0.000000,-0.000076,0.000000,-0.122173
414.231907,0.000000,14.917378,0.000000,0.168312,0.168312,0.050510,0.000000,0.000000,0.000000,0.000000,0.173914,0.000000,-0.047066,0.000000,-0.036205,0.000000,-0.000079,0.000000,-0.122173
418.942039,0.000000,15.059713,0.000000,0.169184,0.169184,0.051425,0.000000,0.000000,0.000000,0.000000,0.173914,0.000000,-0.049173,0.000000,-0.037825,0.000000,-0.000083,0.000000,-0.122173
423.682083,0.000000,14.898698,0.000000,0.170067,0.170067,0.050277,0.000000,0.000000,0.000000,0.000000,0.173914,0.000000,-0.051363,0.000000,-0.039510,0.000000,-0.000086,0.000000,-0.122173
428.385955,0.000000,14.939561,0.000000,0.170960,0.170960,0.050497,0.000000,0.000000,0.000000,0.000000,0.173914,0.000000,-0.053640,0.000000,-0.041262,0.000000,-0.000089,0.000000,-0.122173
433.093351,0.000000,15.076981,0.000000,0.171862,0.171862,0.051372,0.000000,0.000000,0.000000,0.000000,0.173914,0.000000,-0.056008,0.000000,-0.043083,0.000000,-0.000093,0.000000,-0.122173
437.827772,0.000000,14.914983,0.000000,0.172774,0.172774,0.050215,0.000000,0.000000,0.000000,0.000000,0.213341,0.000000,-0.058469,0.000000,-0.044976,0.000000,-0.000097,0.000000,-0.122173
442.524199,0.000000,14.952608,0.000000,0.173696,0.173696,0.050408,0.000000,0.000000,0.000000,0.000000,0.213341,0.000000,-0.061028,0.000000,-0.046945,0.000000,-0.000100,0.000000,-0.122173
447.221886,0.000000,15.085819,0.000000,0.174628,0.174628,0.051246,0.000000,0.000000,0.000000,0.000000,0.213341,0.000000,-0.063688,0.000000,-0.048991,0.000000,-0.000104,0.000000,-0.122173
451.920986,0.000000,14.925894,0.000000,0.175570,0.175570,0.050101,0.000000,0.000000,0.000000,0.000000,0.213341,0.000000,-0.066453,0.000000,-0.051118,0.000000,-0.000108,0.000000,-0.122173
456.605191,0.000000,14.960739,0.000000,0.176522,0.176522,0.050269,0.000000,0.000000,0.000000,0.000000,0.213341,0.000000,-0.069327,0.000000,-0.053329,0.000000,-0.000113,0.000000,-0.122173
461.288619,0.000000,15.090160,0.000000,0.177483,0.177483,0.051072,0.000000,0.000000,0.000000,0.000000,0.260977,0.000000,-0.072314,0.000000,-0.055626,0.000000,-0.000117,0.000000,-0.122173
465.971484,0.000000,14.930265,0.000000,0.178455,0.178455,0.049925,0.000000,0.000000,0.000000,0.000000,0.260977,0.000000,-0.075418,0.000000,-0.058014,0.000000,-0.000122,0.000000,-0.122173
470.614292,0.000000,14.965257,0.000000,0.179436,0.179436,0.050086,0.000000,0.000000,0.000000,0.000000,0.260977,0.000000,-0.078643,0.000000,-0.060495,0.000000,-0.000126,0.000000,-0.122173
475.279527,0.000000,15.091222,0.000000,0.180426,0.180426,0.050857,0.000000,0.000000,0.000000,0.000000,0.260977,0.000000,-0.081995,0.000000,-0.063073,0.000000,-0.000131,0.000000,-0.122173
479.942361,0.000000,14.931670,0.000000,0.181427,0.181427,0.049709,0.000000,0.000000,0.000000,0.000000,0.260977,0.000000,-0.085477,0.000000,-0.065752,0.000000,-0.000137,0.000000,-0.122173
484.587177,0.000000,14.962291,0.000000,0.182437,0.182437,0.049833,0.000000,0.000000,0.000000,0.000000,0.318491,0.000000,-0.089096,0.000000,-0.068535,0.000000,-0.000142,0.000000,-0.122173
489.227757,0.000000,15.085377,0.000000,0.183457,0.183457,0.050572,0.000000,0.000000,0.000000,0.000000,0.318491,0.000000,-0.092856,0.000000,-0.071427,0.000000,-0.000147,0.000000,-0.122173
